buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	236541	-189654.53892101868
2025-01-01	2025-03-01	236541	-322798.74476034904
2025-01-01	2025-04-01	236541	-347268.0713055948
2025-01-01	2025-05-01	236541	-432050.1768749973
2025-01-01	2025-06-01	236541	-514986.97132491344
2025-01-01	2025-07-01	236541	-548545.75616026
2025-01-01	2025-08-01	236541	-518181.5921256278
2025-01-01	2025-09-01	236541	-512749.5420802949
2025-01-01	2025-10-01	236541	-480396.0806179648
2025-01-01	2025-11-01	236541	-399365.64998202835
2025-01-01	2025-12-01	236541	-344486.6353286897
2025-02-01	2025-03-01	241558	-284279.5984638165
2025-02-01	2025-04-01	241558	-309267.9158448053
2025-02-01	2025-05-01	241558	-395848.2374682605
2025-02-01	2025-06-01	241558	-480544.1091933858
2025-02-01	2025-07-01	241558	-514814.670944865
2025-02-01	2025-08-01	241558	-483806.4874338555
2025-02-01	2025-09-01	241558	-478259.22440186306
2025-02-01	2025-10-01	241558	-445219.5507557825
2025-02-01	2025-11-01	241558	-362470.47654219787
2025-02-01	2025-12-01	241558	-306427.48601780174
2025-03-01	2025-04-01	275825	-183697.75509716585
2025-03-01	2025-05-01	275825	-282560.21136766626
2025-03-01	2025-06-01	275825	-379270.89293723827
2025-03-01	2025-07-01	275825	-418403.01729288674
2025-03-01	2025-08-01	275825	-382996.0665111939
2025-03-01	2025-09-01	275825	-376661.87834189576
2025-03-01	2025-10-01	275825	-338935.25374891935
2025-03-01	2025-11-01	275825	-244447.53901803913
2025-03-01	2025-12-01	275825	-180454.38680866684
2025-04-01	2025-05-01	276117	-254190.28241409877
2025-04-01	2025-06-01	276117	-351003.3459976953
2025-04-01	2025-07-01	276117	-390176.8972737167
2025-04-01	2025-08-01	276117	-354732.46319780377
2025-04-01	2025-09-01	276117	-348391.5693892581
2025-04-01	2025-10-01	276117	-310625.0057973471
2025-04-01	2025-11-01	276117	-216037.26237906938
2025-04-01	2025-12-01	276117	-151976.36431473415
2025-05-01	2025-06-01	299894	-265128.47676579695
2025-05-01	2025-07-01	299894	-307675.3427188935
2025-05-01	2025-08-01	299894	-269178.71588040894
2025-05-01	2025-09-01	299894	-262291.7947280715
2025-05-01	2025-10-01	299894	-221273.07504825253
2025-05-01	2025-11-01	299894	-118540.18745103471
2025-05-01	2025-12-01	299894	-48962.874340629554
2025-06-01	2025-07-01	327221	-211867.94183564128
2025-06-01	2025-08-01	327221	-169863.41780143007
2025-06-01	2025-09-01	327221	-162348.94526650428
2025-06-01	2025-10-01	327221	-117592.50975145555
2025-06-01	2025-11-01	327221	-5498.375782622489
2025-06-01	2025-12-01	327221	70418.97492562735
2025-07-01	2025-08-01	332279	-123801.70131934794
2025-07-01	2025-09-01	332279	-116171.07425252578
2025-07-01	2025-10-01	332279	-70722.81868058856
2025-07-01	2025-11-01	332279	43104.00398980817
2025-07-01	2025-12-01	332279	120194.84282957259
2025-08-01	2025-09-01	306442	-154250.85181223834
2025-08-01	2025-10-01	306442	-112336.51375904933
2025-08-01	2025-11-01	306442	-7360.517103342204
2025-08-01	2025-12-01	306442	63735.973603970306
2025-09-01	2025-10-01	294128	-118595.50472910584
2025-09-01	2025-11-01	294128	-17837.841143990798
2025-09-01	2025-12-01	294128	50401.72333725004
2025-10-01	2025-11-01	273002	-61079.42488828811
2025-10-01	2025-12-01	273002	2258.773387658807
2025-11-01	2025-12-01	240691	-92296.31940071814
